,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1500,265.21,7.28,"[118, 0.602]",1.012365818,259.58,15.64,"[319, 0.638]",0.390153408,251.81,10.66,"[178, 0.517]",1.508476973,215.28,7.95,"[150, 0.603]",1.813512564,237.52,0.4,"[4, 0.041, 197]",10.92
3000,249.89,6.09,"[193, 0.675]",1.778938532,258.49,14.88,"[768, 0.512]",0.615258455,244.26,5.18,"[166, 0.542]",2.811877251,218.12,4.53,"[160, 0.656]",3.485338688,233.95,0.28,"[9, 0.088, 238]",18.626
1300,428.25,16.35,"[72, 1.0]",0.349738598,428.28,41.58,"[474, 0.729]",0.301925182,422.07,14.44,"[84, 0.778]",0.69284296,311.75,18.31,"[96, 0.867]",1.061717987,413.99,5.87,"[41, 0.717, 92]",1.4991
4000,473.64,18.62,"[269, 1.0]",1.995898962,435.08,29.6,"[523, 0.916]",0.540013075,418.2,18.37,"[316, 0.726]",3.106783628,298.87,19.29,"[311, 0.831]",5.411190033,408.58,6.09,"[123, 0.668, 316]",4.466
1200,616.76,14.02,"[113, 1.0]",0.54960227,562,23.96,"[253, 0.843]",0.199929714,574.06,11.6,"[101, 0.591]",1.203892231,382.57,19.77,"[212, 0.76]",1.922645807,559.72,10.71,"[114, 0.793, 188]",1.4196
1350,648.41,13.11,"[123, 1.0]",0.64613533,573.5,23.54,"[327, 0.755]",0.261716604,546.53,15.21,"[169, 0.645]",1.316456318,370.72,18.16,"[225, 0.782]",1.847173452,550.51,10.99,"[122, 0.698, 215]",1.6781
1600,536.98,17.02,"[110, 1.0]",0.618175983,516.21,46.95,"[987, 0.617]",0.558646441,519.25,18.68,"[151, 0.699]",1.006271601,360.69,20.87,"[164, 0.816]",1.934951305,,,,2.087
2600,546.88,11.95,"[145, 1.0]",1.026713133,576.05,42.15,"[731, 0.844]",0.502168655,535.52,10.52,"[150, 0.732]",1.640717983,405.9,12.68,"[172, 0.852]",3.210237503,,,,3.7214
,,,,0.997196078,,,,0.421226442,,,,1.660914868,,,,2.585845917,,,,5.55215
