,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
test_1,636.66,17.59,"[23, 1.0]",2.477277994,0.038187742,513.11,44.08,"[94, 0.94]",2.84205842,0.046375036,515.45,40.69,"[88, 0.466]",3.399160385,0.085390568,485.85,21.65,"[43, 0.827, 0.788]",6.565202951,0.362722635,296.14,33.56,"[70, 0.647]",3.770359755,0.176036835
test_2,722.26,17.87,"[41, 1.0]",6.900654316,0.077493191,634.85,50.56,"[193, 0.965]",7.233158588,0.097298384,568.8,17.69,"[46, 0.639]",9.206489325,0.338298321,567.35,17.41,"[82, 0.932, 0.739]",18.70343018,0.550938129,370.31,31.75,"[97, 0.745]",9.247731924,0.309512854
test_3,670.95,12.67,"[56, 0.933]",7.774338007,0.119663715,597.25,34.55,"[195, 0.975]",9.031454802,0.124822378,561.62,9.3,"[43, 0.589]",9.519435883,0.341433287,544.42,9.27,"[100, 0.926, 0.648]",27.01691151,0.746162415,415.74,19.81,"[103, 0.792]",9.440566301,0.372118473
test_4,665.7,12.43,"[73, 1.0]",10.85459208,0.156111717,624.3,37,"[264, 0.992]",13.10330534,0.167391539,578.75,6.53,"[39, 0.709]",11.65091395,0.388166189,554.13,6.38,"[101, 0.935, 0.62]",40.23982406,0.929721594,433.64,17.2,"[113, 0.815]",13.09663987,0.495895147
test_5,604.82,9.92,"[81, 1.0]",11.88842583,0.194433689,521.07,50.34,"[797, 0.797]",13.89078593,0.317718983,511.44,8.4,"[69, 0.683]",14.80684638,0.371603727,506.37,5.63,"[126, 0.947, 0.579]",63.50846696,1.125798464,401.67,13.12,"[120, 0.858]",14.34651423,0.579657316
test_6,662.51,10.33,"[91, 1.0]",16.25492764,0.228680372,655.68,14.73,"[133, 1.0]",16.82588029,0.194286823,545.7,7.44,"[71, 0.74]",21.33627605,0.536195517,525.12,4.96,"[135, 0.985, 0.672]",97.92606759,1.371282578,414.82,13.39,"[130, 0.869]",18.25737596,0.704837084
test_7,560.14,7.44,"[101, 1.0]",12.39060402,0.262093782,561.4,14.01,"[199, 0.995]",14.82697821,0.237472057,471.05,6.99,"[95, 0.72]",15.20728207,0.510752439,460.94,2.35,"[123, 0.984, 0.488]",54.76570201,1.820129633,379.69,8.59,"[122, 0.86]",14.85668349,0.753701925
test_8,699.11,11.13,"[107, 0.991]",28.38551831,0.306502819,515.78,53.83,"[1274, 0.796]",23.70486736,0.510950089,529.76,9.09,"[79, 0.731]",45.25349569,0.79410243,499.15,5.15,"[130, 0.977, 0.632]",418.1297379,2.308545113,397.42,12.2,"[125, 0.853]",29.35313606,0.86861968
