,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
test_1,655.45,15.9,1.0,4.286024808883667,0.05322742462158203,629.28,21.55,1.0,4.334158658981323,0.0497744083404541,531.83,10.77,0.826,3.6940996646881104,0.1135110855102539,511.71,12.47,0.855,15.604563236236572,0.4479358196258545,375.04,24.66,0.779,5.723944425582886,0.1714463233947754
test_2,670.62,14.31,1.0,9.920436382293701,0.11388921737670898,1436.46,1.24,1.0,24.537931442260742,0.05286884307861328,524.28,16.53,0.587,10.349103450775146,0.29694485664367676,516.69,11.71,0.905,44.39306378364563,0.7496523857116699,366.97,22.88,0.789,12.439370393753052,0.39758849143981934
test_3,646.72,11.07,0.965,10.94185757637024,0.20184946060180664,508.12,45.07,0.76,12.505385637283325,0.2960174083709717,518.85,11.03,0.579,11.975766897201538,0.5012180805206299,490.49,6.61,0.903,41.798651933670044,1.131951093673706,377.16,17.88,0.772,15.059468507766724,0.6360085010528564
test_4,579.7,9.01,1.0,10.665546894073486,0.29035258293151855,577.6,5.16,0.984,9.58867335319519,0.18268251419067383,463.89,7.8,0.629,9.525020360946655,0.8553085327148438,451.55,5.21,0.926,27.760399341583252,1.7054636478424072,358.35,14.42,0.8,14.868101596832275,0.8851473331451416
test_5,593.31,8.1,0.979,12.199448108673096,0.4071805477142334,440.31,37.69,0.735,16.309507131576538,0.4742887020111084,438.06,9.81,0.649,14.809215545654297,1.0754477977752686,417.42,3.87,0.893,30.46911072731018,2.101369857788086,340.03,13.49,0.767,15.551430463790894,1.1721229553222656
test_6,648.26,12.68,1.0,25.39056396484375,0.5317935943603516,870.38,0.84,1.0,53.0622615814209,0.2410440444946289,518.95,24.32,0.661,27.859196186065674,0.7542552947998047,492.67,9.35,0.909,104.34901332855225,2.553004026412964,344.25,21.15,0.778,30.9561505317688,1.6322779655456543
test_7,573.04,9.79,0.995,21.527230262756348,0.6671106815338135,505.77,28.54,0.967,25.78000569343567,0.42985963821411133,486.81,9.42,0.63,23.76547408103943,1.394270420074463,473.74,5.36,0.908,65.0364363193512,3.1405110359191895,365.67,16.26,0.762,29.685810565948486,1.934314489364624
test_8,604.39,11.54,1.0,30.32480812072754,0.8298192024230957,608.82,19.66,1.0,33.15189075469971,0.41690850257873535,532.17,15.63,0.637,34.46330785751343,1.5302190780639648,513.06,7.18,0.931,96.00127267837524,3.436511516571045,378.81,19.09,0.77,40.07590413093567,2.4340269565582275
